,Year-Quarter,Year,Quarter,Ticker,Security,Sector,Sub_Sector,Price,Stock_Price_Prev_Quarter,Stock_Price_Change_Ratio,EPS,PE_Ratio,Total_Debt,Total_Equity,Debt_to_Equity_Ratio,Net_Income,Return_on_Equity,Dividends,Dividend_Yield_Percent,Total_Return,Total_Return_Annualized,Date_Added,Founded,Dividend_Payer,Industry_PE,PE_vs_Industry,Year-Quarter_After_3Y,Year-Quarter_After_5Y,PE_ratio_After_3Y,PE_ratio_After_5Y,Price_After_3Y,Price_After_5Y,Price_Change_After_3Y,Price_Change_After_5Y,Dividends_After_3Y,Dividends_After_5Y,Dividend_Yield_After_3Y,Dividend_Yield_After_5Y,Total_Return_After_3Y,Total_Return_After_5Y,CAGR_3Y,CAGR_5Y,PE_Category,D/E_Category,ROE_Segment,Value_Investing,Investment_Type
11,2016-10-01,2016,4,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,40.96,45.12,-0.0921985815602836,1.41,29.05,3550000000.0,4250000000.0,0.84,460000000.0,0.11,0.132,0.0029255319148936173,-0.08927304964538998,-0.3120565280881299,2000-06-05,1999,1,20.696363636363635,1.4036282175173505,2019-Q4,2021-Q4,21.79,39.17,73.2,154.35,0.787109375,2.768310546875,1.828,3.144,0.04462890625,0.07675781250000001,0.83173828125,2.845068359375,22.354836377588438,30.91240851876538,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
12,2017-01-01,2017,1,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,46.17,40.96,0.127197265625,1.56,29.6,3570000000.0,4300000000.0,0.83,510000000.0,0.1193999999999999,0.132,0.0032226562500000003,0.130419921875,0.6328985773576365,2000-06-05,1999,1,27.923333333333336,1.06004536230154,2020-Q1,2022-Q1,33.04,34.7,79.95,136.72,0.7316439246263808,1.9612302360840372,1.8760000000000001,3.222,0.04063244531080788,0.06978557504873294,0.7722763699371888,2.0310158111327703,21.016284717987375,24.829617675299588,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
13,2017-04-01,2017,2,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,52.03,46.17,0.12692224388130824,1.78,29.23,3640000000.0,4380000000.0,0.83,580000000.0,0.1348,0.132,0.0028589993502274205,0.12978124323153567,0.6292114026455458,2000-06-05,1999,1,28.51,1.0252542967379867,2020-Q2,2022-Q2,34.3,28.25,74.42,117.23,0.4303286565443014,1.2531231981549107,1.924,3.3,0.03697866615414184,0.06342494714587738,0.46730732269844344,1.316548145300788,13.633668716921289,18.29551141209138,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
14,2017-07-01,2017,3,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,56.64,52.03,0.08860272919469536,1.94,29.2,3650000000.0,4610000000.0,0.79,630000000.0,0.1444,0.0,0.0,0.08860272919469536,0.4043574908890648,2000-06-05,1999,1,30.098787878787878,0.9701387350744015,2020-Q3,2022-Q3,42.4,30.08,93.71,132.04,0.6544844632768361,1.3312146892655368,1.924,3.51,0.03396892655367231,0.06197033898305084,0.6884533898305085,1.3931850282485874,19.077495595357608,19.068053916397297,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
15,2017-10-01,2017,4,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,64.58,56.64,0.1401836158192089,2.1,30.75,3590000000.0,4840000000.0,0.74,680000000.0,0.151,0.281,0.004961158192090396,0.1451447740112993,0.7196560102641709,2000-06-05,1999,1,88.01030303030304,0.3493909115323963,2020-Q4,2022-Q4,43.25,32.72,99.49,136.45,0.5405698358624962,1.1128832455868687,1.823,3.6639999999999997,0.028228553731805512,0.056735831526788474,0.5687983895943014,1.1696190771136572,16.195429327632095,16.755325295317625,3_Expensive,Moderate Leverage,Moderate ROE (Sustainable profitability),0,Not_Value_Investing
16,2018-01-01,2018,1,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,69.86,64.58,0.08175905853205334,0.59,118.41,4170000000.0,4530000000.0,0.92,200000000.0,0.0426999999999999,0.0,0.0,0.08175905853205334,0.36937426714716715,2000-06-05,1999,1,100.85545454545455,1.174056480471602,2021-Q1,2023-Q1,45.11,33.91,117.3,150.22,0.6790724305754365,1.1503006012024048,2.017,3.6639999999999997,0.02887202977383338,0.05244775264815345,0.7079444603492699,1.202748353850558,19.53394366943273,17.10972929162522,4_Highly Overpriced,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
17,2018-04-01,2018,2,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,62.69,69.86,-0.10263383910678503,0.72,87.07,4170000000.0,4620000000.0,0.9,240000000.0,0.051,0.149,0.0021328371027769825,-0.10050100200400805,-0.3453597024217162,2000-06-05,1999,1,58.22272727272727,1.4954641267858537,2021-Q2,2023-Q2,43.84,29.51,130.64,133.99,1.0839049290157918,1.137342478864253,2.0620000000000003,3.965,0.032892008294783864,0.06324772691019301,1.1167969373105757,1.200590205774446,28.398435743377924,17.08677258448297,4_Highly Overpriced,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
18,2018-07-01,2018,3,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,63.13,62.69,0.007018663263678393,0.91,69.37,3780000000.0,4570000000.0,0.83,300000000.0,0.0643,0.149,0.0023767746052001915,0.009395437868878585,0.038114722285373936,2000-06-05,1999,1,78.65363636363637,0.8819681226089068,2021-Q3,2023-Q3,46.87,31.6,149.98,120.7,1.3757326152383968,0.9119277680975764,2.107,3.816,0.033375574211943614,0.060446697291303655,1.40910818945034,0.9723744653888802,34.05574626871643,14.550733460663867,4_Highly Overpriced,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
19,2018-10-01,2018,4,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,62.06,63.13,-0.016949152542372836,0.98,63.33,3970000000.0,4570000000.0,0.87,320000000.0,0.0691,0.313,0.004958023126881039,-0.011991129415491797,-0.04710867056221624,2000-06-05,1999,1,26.76818181818182,2.365868568517575,2021-Q4,2023-Q4,39.17,24.39,154.35,102.67,1.4871092491137605,0.6543667418627135,1.988,3.964,0.03203351595230422,0.06387367064131486,1.5191427650660647,0.7182404125040283,36.066410131352946,11.433760287670868,4_Highly Overpriced,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
20,2019-01-01,2019,1,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,73.03,62.06,0.1767644215275539,3.54,20.63,3920000000.0,5040000000.0,0.78,1140000000.0,0.2427,0.0,0.0,0.1767644215275539,0.917600426299976,2000-06-05,1999,1,94.15878787878788,0.21909797762644662,2022-Q1,2024-Q1,34.7,30.82,136.72,129.44,0.8721073531425441,0.7724222922086814,2.198,3.964,0.030097220320416267,0.05427906339860331,0.9022045734629605,0.8267013556072846,23.90411798504648,12.806340373540781,2_Fairly Valued,Moderate Leverage,Moderate ROE (Sustainable profitability),1,Value_Investing
21,2019-04-01,2019,2,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,75.53,73.03,0.03423250718882653,3.48,21.7,3900000000.0,5130000000.0,0.76,1120000000.0,0.2314999999999999,0.164,0.002245652471587019,0.03647815966041355,0.15409250562803578,2000-06-05,1999,1,27.085757575757572,0.8011590570913933,2022-Q2,2024-Q2,28.25,32.28,117.23,136.56,0.5520985039057329,0.8080233019992056,2.244,4.036,0.029710048987157425,0.05343572090560042,0.5818085528928902,0.861459022904806,16.51575128606726,13.232395733344337,2_Fairly Valued,Moderate Leverage,Moderate ROE (Sustainable profitability),1,Value_Investing
22,2019-07-01,2019,3,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,66.93,75.53,-0.11386204157288482,3.35,19.98,3880000000.0,4750000000.0,0.82,1070000000.0,0.2201,0.328,0.0043426453065007285,-0.10951939626638409,-0.3712212489155132,2000-06-05,1999,1,24.3530303030303,0.8204317800037331,2022-Q3,2024-Q3,30.08,29.29,132.04,141.17,0.9728074107276257,1.1092185865829967,2.126,3.944,0.031764530106080976,0.058927237412221715,1.0045719408337068,1.1681458239952183,26.0880366691725,16.739464733572596,2_Fairly Valued,Moderate Leverage,Moderate ROE (Sustainable profitability),1,Value_Investing
45,2014-04-01,2014,2,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",20.5,16.82,0.21878715814506533,1.55,13.25,101580000000.0,120940000000.0,0.84,38560000000.0,0.312,0.1175,0.0069857312722948865,0.2257728894173602,1.2575638755416407,1982-11-30,1977,1,19.43216216216216,0.6818592748160615,2017-Q2,2019-Q2,15.28,16.25,33.62,47.65,0.6399999999999999,1.3243902439024389,1.6,2.9949999999999997,0.07804878048780488,0.14609756097560975,0.7180487804878048,1.4704878048780485,19.76920409145948,19.827512222318354,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
46,2014-07-01,2014,3,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",22.34,20.5,0.08975609756097569,1.61,13.89,120290000000.0,111550000000.0,1.08,39510000000.0,0.3276,0.1175,0.005731707317073171,0.09548780487804887,0.44022448227564315,1982-11-30,1977,1,21.800540540540542,0.6371401651335201,2017-Q3,2019-Q3,15.71,18.27,36.13,54.12,0.6172784243509402,1.4225604297224708,1.64,3.0700000000000003,0.07341092211280215,0.13742166517457477,0.6906893464637422,1.5599820948970455,19.13003572366838,20.683357913948864,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
47,2014-10-01,2014,4,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",24.58,22.34,0.10026857654431498,1.86,13.25,138570000000.0,123330000000.0,1.12,44460000000.0,0.3736,0.1175,0.005259623992837958,0.10552820053715294,0.4937547568306462,1982-11-30,1977,1,23.478108108108106,0.5643555238347397,2017-Q4,2019-Q4,16.37,22.49,39.81,71.17,0.6196094385679416,1.8954434499593167,1.68,3.145,0.06834825061025224,0.12794955248169243,0.6879576891781938,2.023393002441009,19.065841425145802,24.76676673436595,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
48,2015-01-01,2015,1,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",27.82,24.58,0.1318144833197723,2.02,13.75,132190000000.0,129009999999.99998,1.03,47810000000.0,0.3944,0.1175,0.004780309194467047,0.13659479251423934,0.6688705377938136,1982-11-30,1977,1,25.70756756756757,0.5348619609327362,2018-Q1,2020-Q1,15.3,19.38,39.63,61.78,0.42451473759884983,1.2207045291157441,1.72,3.2199999999999998,0.06182602444284687,0.11574406901509704,0.48634076204169663,1.3364485981308412,14.122899213688322,18.498061603871463,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
49,2015-04-01,2015,2,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",28.16,27.82,0.012221423436376666,2.17,13.0,147470000000.0,125680000000.0,1.17,50740000000.0,0.4146,0.13,0.004672897196261683,0.01689432063263835,0.06930916018938982,1982-11-30,1977,1,25.788918918918917,0.5040924763411899,2018-Q2,2020-Q2,15.92,27.03,43.89,88.87,0.55859375,2.1558948863636367,1.7725,3.295,0.06294389204545454,0.11700994318181818,0.6215376420454546,2.2729048295454546,17.483175911274618,26.76129735683459,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
50,2015-07-01,2015,3,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",24.79,28.16,-0.11967329545454553,2.3,10.78,170990000000.0,119360000000.0,1.43,53390000000.0,0.4294,0.13,0.004616477272727273,-0.11505681818181825,-0.38671611923311977,1982-11-30,1977,1,18.313783783783784,0.58862767668718,2018-Q3,2020-Q3,18.1,34.68,53.71,113.05,1.1665994352561517,3.560306575231948,1.825,3.37,0.0736183945139169,0.13594191206131506,1.240217829770069,3.6962484872932633,30.846893553534848,36.25429897386931,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
51,2015-10-01,2015,4,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",23.84,24.79,-0.038321903993545736,2.36,10.12,165020000000.0,128270000000.00002,1.29,53730000000.0,0.4279,0.13,0.0052440500201694235,-0.033077853973376314,-0.12589011999844468,1982-11-30,1977,1,18.593513513513514,0.5442758299901156,2018-Q4,2020-Q4,12.39,35.14,37.66,129.76,0.579697986577181,4.442953020134228,1.8775,3.445,0.07875419463087248,0.14450503355704697,0.6584521812080535,4.587458053691274,18.36800226669837,41.07265996342473,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
52,2016-01-01,2016,1,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",24.82,23.84,0.041107382550335636,2.25,11.04,174820000000.0,130460000000.00002,1.34,50680000000.0,0.4024,0.13,0.005453020134228188,0.04656040268456382,0.19965728479743827,1982-11-30,1977,1,19.364054054054055,0.5701285469035688,2019-Q1,2021-Q1,15.32,26.85,45.55,119.63,0.8352135374697822,3.8199033037872683,1.93,3.5199999999999996,0.07775987107171635,0.1418211120064464,0.9129734085414987,3.9617244157937144,24.137495085845416,37.76107649758493,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
53,2016-04-01,2016,2,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",21.9,24.82,-0.11764705882352944,2.14,10.23,179060000000.0,126540000000.0,1.42,47800000000.0,0.3789,0.1425,0.005741337630942788,-0.11190572119258665,-0.3779342517141472,1982-11-30,1977,1,25.738108108108108,0.39746511115078076,2019-Q2,2021-Q2,16.25,26.29,47.65,134.36,1.175799086757991,5.1351598173515995,1.98,3.5975,0.09041095890410959,0.16426940639269408,1.2662100456621004,5.299429223744293,31.351000993552724,44.497469019857895,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
54,2016-07-01,2016,3,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",26.04,21.9,0.18904109589041096,2.07,12.59,193440000000.0,128250000000.0,1.51,45690000000.0,0.3559,0.1425,0.006506849315068493,0.19554794520547944,1.0429982257274886,1982-11-30,1977,1,32.10216216216216,0.39218542154270997,2019-Q3,2021-Q3,18.27,24.74,54.12,139.02,1.0783410138248848,4.338709677419355,2.0300000000000002,3.675,0.07795698924731184,0.1411290322580645,1.1562980030721968,4.47983870967742,29.192189999716113,40.524987450722485,1_Moderately Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
55,2016-10-01,2016,4,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",26.81,26.04,0.029569892473118253,2.09,12.84,198750000000.0,132389999999.99998,1.5,45220000000.0,0.3494,0.1425,0.005472350230414746,0.035042242703533,0.1477103530565529,1982-11-30,1977,1,29.684324324324322,0.43255153325078305,2019-Q4,2021-Q4,22.49,28.93,71.17,174.71,1.6546064901156288,5.516598284222305,2.08,3.7525,0.07758299142111154,0.13996643043640433,1.7321894815367402,5.65656471465871,39.79885197710726,46.09993802511367,1_Moderately Undervalued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
56,2017-01-01,2017,1,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",33.4,26.81,0.24580380455054085,2.14,15.63,200450000000.0,134080000000.00002,1.5,45730000000.0,0.3509,0.1425,0.005315180902648265,0.2511189854531891,1.450160069564343,1982-11-30,1977,1,33.064054054054054,0.47271880134382893,2020-Q1,2022-Q1,19.38,27.93,61.78,172.02,0.8497005988023953,4.150299401197605,2.13,3.83,0.06377245508982037,0.11467065868263474,0.9134730538922158,4.26497005988024,24.1483018788623,39.40526655469259,2_Fairly Valued,Moderate Leverage,High ROE (Strong profitability),1,Value_Investing
57,2017-04-01,2017,2,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",33.62,33.4,0.006586826347305452,2.2,15.28,212750000000.0,132430000000.0,1.61,46650000000.0,0.354,0.1575,0.00471556886227545,0.011302395209580901,0.045981837240639756,1982-11-30,1977,1,31.698108108108105,0.4820476965971198,2020-Q2,2022-Q2,27.03,22.26,88.87,134.89,1.6433670434265322,3.012195121951219,2.1774999999999998,3.9025000000000003,0.06476799524092802,0.11607674003569306,1.7081350386674599,3.1282718619869128,39.3873748052262,32.78641867489118,2_Fairly Valued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
58,2017-07-01,2017,3,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",36.13,33.62,0.07465794170136841,2.3,15.71,241270000000.0,134050000000.00002,1.8,48350000000.0,0.3629,0.1575,0.0046847114812611544,0.07934265318262956,0.3571797121196092,1982-11-30,1977,1,24.071081081081083,0.652650371085636,2020-Q3,2022-Q3,34.68,22.35,113.05,136.54,2.128978688070855,2.7791309161361744,2.225,3.975,0.06158317187932466,0.11001937448104068,2.1905618599501793,2.889150290617215,47.216240589292994,31.211211436919363,2_Fairly Valued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
59,2017-10-01,2017,4,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",39.81,36.13,0.10185441461389422,2.43,16.37,266600000000.00003,140200000000.0,1.9,50530000000.0,0.3737,0.1575,0.004359258234154442,0.10621367284804865,0.4974629579716525,1982-11-30,1977,1,301.26324324324327,0.0543378602174268,2020-Q4,2022-Q4,35.14,21.83,129.76,128.58,2.259482542074855,2.2298417483044464,2.2725,4.0475,0.05708364732479276,0.10167043456417986,2.3165661893996483,2.3315121828686265,49.129269216588156,27.21205875748818,2_Fairly Valued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
60,2018-01-01,2018,1,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",39.63,39.81,-0.0045214770158251705,2.59,15.3,240620000000.0,126880000000.0,1.9,53320000000.0,0.3997,0.1575,0.003956292388847023,-0.0005651846269781472,-0.0022588226279912638,1982-11-30,1977,1,46.35162162162162,0.3300855388598318,2021-Q1,2023-Q1,26.85,27.75,119.63,163.44,2.018672722684834,3.1241483724451173,2.3200000000000003,4.12,0.05854150895786021,0.10396164521826898,2.0772142316426945,3.2281100176633863,45.45184822551025,33.42255588231191,2_Fairly Valued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
61,2018-04-01,2018,2,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",43.89,39.63,0.10749432248296742,2.76,15.92,234250000000.0,114950000000.0,2.04,56120000000.0,0.435,0.1825,0.004605097148624779,0.1120994196315922,0.5295879599335591,1982-11-30,1977,1,40.368378378378374,0.39436808312634325,2021-Q2,2023-Q2,26.29,32.36,134.36,192.52,2.061289587605377,3.3864205969469126,2.3575,4.1775,0.0537138300296195,0.09518113465481887,2.1150034176349966,3.4816017316017316,46.04482606865026,34.985354635061896,2_Fairly Valued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
62,2018-07-01,2018,3,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",53.71,43.89,0.22374117110959224,2.97,18.1,258580000000.0,107150000000.0,2.41,59530000000.0,0.4868,0.1825,0.004158122579175211,0.22789929368876746,1.2732698824710065,1982-11-30,1977,1,105.03675675675676,0.17232062907193366,2021-Q3,2023-Q3,24.74,27.8,139.02,170.16,1.5883448147458576,2.168125116365667,2.395,4.234999999999999,0.04459132377583318,0.07884937628002232,1.632936138521691,2.2469744926456894,38.085086128455245,26.559798700544277,2_Fairly Valued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
63,2018-10-01,2018,4,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",37.66,53.71,-0.2988270340718675,3.04,12.39,255830000000.0,117890000000.0,2.17,59430000000.0,0.5092,0.1825,0.0033978774902252836,-0.2954291565816422,-0.7535671107302486,1982-11-30,1977,1,25.503513513513514,0.4858154149401778,2021-Q4,2023-Q4,28.93,29.84,174.71,191.59,3.6391396707381842,4.087360594795539,2.4324999999999997,4.2924999999999995,0.0645910780669145,0.11398035050451408,3.703730748805099,4.201340945300053,67.55117763478762,39.06667289929145,1_Moderately Undervalued,Highly Leveraged,High ROE (Strong profitability),0,Not_Value_Investing
